Date Time,ID,Floor,Location,Total num students,Total seats,Num groups,Size of group,Num empty seats,Ratio filled/empty seats per table,Num talking,Num studying,Num eating,Num on phone,Decibel level (dBA),
12:00 PM,1,1,Tech Rec,3,44,1,3,41,0.07317073171,3,0,0,0,63,
,2,1,Marrakech Express dining area,25,60,5,5,35,0.7142857143,15,2,4,2,67,
,3,1,Piedmont room sitting area,15,24,6,2.5,9,1.666666667,5,6,4,1,71,
,4,1,Post Office,6,20,3,2,14,0.4285714286,2,1,0,0,67,
,5,1,Chick-Fil-A/Panda dining area,63,104,6,10.5,41,1.536585366,10,5,10,5,60,
,6,1,Cypress Theater dining area,36,84,10,3.6,48,0.75,4,3,27,2,63,
,7,2,Southern Company BSO Space,6,14,5,1.2,8,0.75,2,5,4,0,49,
,8,2,Student Organizations Hub,36,44,8,4.5,8,4.5,7,15,20,4,57,
,9,2,Music Practice Rooms,22,42,10,2.2,20,1.1,3,20,4,4,53,
,10,2,Student Media sitting area,5,18,2,2.5,13,0.3846153846,0,3,2,2,51,
,11,2,Dancing Goats Coffee sitting area,27,52,15,1.8,25,1.08,0,2,5,8,59,
,12,2,Infodesk sitting area,4,15,2,2,11,0.3636363636,4,0,0,1,53,
,13,2,DePoe Eye Center sitting area,8,10,7,1.142857143,2,4,0,1,1,1,56,
,14,2,Noodle Theory/Pop up sitting area,17,54,11,1.545454545,37,0.4594594595,15,3,14,3,61,
,15,2,Twisted Taco sitting area,3,21,3,1,18,0.1666666667,0,3,0,1,52,
,16,2,Twisted Taco corner sitting area,32,100,19,1.684210526,68,0.4705882353,15,7,29,5,53,
,17,2,Campus crust sitting area,4,24,4,1,20,0.2,0,1,2,1,59,
,18,2,Tech Eatery sitting area,47,104,25,1.88,57,0.8245614035,23,10,32,10,58,
,19,3,Reflection space seating area,1,7,1,1,6,0.1666666667,0,1,0,0,49,
,20,3,Graduate student lounge sitting area,17,58,10,1.7,41,0.4146341463,3,16,0,1,54,
,21,3,Krog boardroom sitting area,15,43,12,1.25,28,0.5357142857,1,14,2,1,52,
,22,3,Multicultural center sitting area,6,23,2,3,17,0.3529411765,6,2,3,1,59,
,23,3,Event Services sitting area,3,6,3,1,3,1,1,1,1,1,52,
,24,3,Denning Boardroom Huddle Space,2,4,1,2,2,1,1,2,2,0,52,
,25,3,3rd floor long tables sitting area,16,28,4,4,12,1.333333333,3,13,2,0,56,
,26,3,CSE desk sitting area,5,20,5,1,15,0.3333333333,0,5,1,1,55,
2:00 PM,1,1,Tech Rec,5,44,2,2.5,39,0.1282051282,2,0,1,1,60,
,2,1,Marrakech Express dining area,6,60,2,3,54,0.1111111111,2,1,1,1,68,
,3,1,Piedmont room sitting area,6,24,3,2,18,0.3333333333,3,2,0,1,65,
,4,1,Post Office,3,20,2,1.5,17,0.1764705882,1,0,0,2,72,
,5,1,Chick-Fil-A/Panda dining area,70,104,9,7.777777778,34,2.058823529,12,10,33,15,63,
,6,1,Cypress Theater dining area,20,84,8,2.5,64,0.3125,5,8,4,0,65,
