Date Time,ID,Location,Floor,Total num students,Num groups,Avg size of group,Num empty seats,Avg ratio filled/empty seats per table,Num talking,Num studying,Num eating,Num on phone,What ppl are eating,Decibel level (dBA)
4/7/2026 15:24,1,Tech Rec,1,8,8,7,5,0.54,4,4,3,5,Chick-Fil-A,47
4/7/2026 15:24,2,Marrakech Express dining area,1,12,4,6,5,0.32,8,4,12,12,Lunch box,54
4/7/2026 15:24,3,Piedmont room sitting area,1,9,4,4,11,0.52,8,1,4,5,Chick-Fil-A,49
4/7/2026 15:24,4,Post Office,1,9,2,6,4,0.18,4,5,5,5,Panda,63
4/7/2026 15:24,5,Chick-Fil-A/Panda dining area,1,14,1,5,7,0.41,9,5,12,10,Lunch box,70
4/7/2026 15:24,6,Cypress Theater dining area,1,6,8,7,9,0.32,6,0,4,1,Food Truck,56
4/7/2026 15:24,7,Southern Company BSO Space,2,9,6,5,3,0.32,6,3,4,2,Twisted Taco,51
4/7/2026 15:24,8,Student Organizations Hub,2,12,3,7,6,0.32,7,5,5,12,Chick-Fil-A,46
4/7/2026 15:24,9,Music Practice Rooms,2,9,5,3,10,0.58,5,4,6,4,Chick-Fil-A,38
4/7/2026 15:24,10,Student Media sitting area,2,19,4,7,9,0.17,17,2,13,15,Chick-Fil-A,44
4/7/2026 15:24,11,Dancing Goats Coffee sitting area,2,16,7,6,2,0.17,11,5,13,14,Panda,47
4/7/2026 15:24,12,Infodesk sitting area,2,16,2,3,6,0.59,12,4,10,16,Tech Eatery,53
4/7/2026 15:24,13,DePoe Eye Center sitting area,2,11,4,5,8,0.69,5,6,8,4,Panda,61
4/7/2026 15:24,14,Noodle Theory/Pop up sitting area,2,20,6,4,2,0.04,15,5,13,13,Tech Eatery,69
4/7/2026 15:24,15,Twisted Taco sitting area,2,6,3,6,10,0.65,3,3,0,0,Food Truck,67
4/7/2026 15:24,16,Twisted Taco corner sitting area,2,9,3,5,6,0.25,5,4,5,3,Lunch box,58
4/7/2026 15:24,17,Campus crust sitting area,2,9,3,3,3,0.11,3,6,2,6,Panda,60
4/7/2026 15:24,18,Tech Eatery sitting area,2,6,7,4,7,0.5,1,5,2,1,Panda,55
4/7/2026 15:24,19,Reflection space seating area,3,8,3,6,2,0.18,1,7,1,6,Chick-Fil-A,38
4/7/2026 15:24,20,Graduate student lounge sitting area,3,9,3,2,8,0.47,7,2,8,3,Marrakech,67
4/7/2026 15:24,21,Krog boardroom sitting area,3,11,7,2,4,0.35,6,5,4,7,Lunch box,32
4/7/2026 15:24,22,Multicultural center sitting area,3,14,7,2,6,0.49,13,1,14,8,Food Truck,41
4/7/2026 15:24,23,Event Services sitting area,3,8,5,7,2,0.01,7,1,4,3,Panda,64
4/7/2026 15:24,24,Denning Boardroom Huddle Space,3,8,7,6,4,0.48,5,3,4,6,Twisted Taco,32
4/7/2026 15:24,25,3rd floor long tables sitting area,3,10,3,6,4,0.68,10,0,3,4,Food Truck,49
4/7/2026 15:24,26,CSE desk sitting area,3,14,3,4,1,0.36,9,5,12,13,Panda,65
